event_id,ot_str,lat,lon,dep_km,h_err_km,z_err_km,rms,nphs,gap
20220905084025419_00000174.sum,2022-09-05T08:40:25.022,29.466971,102.167601,15.029,1.736,7.255,0.242,13,137.7
20220905084211274_00000175.sum,2022-09-05T08:42:10.913,29.424267,102.187223,12.328,1.626,6.795,0.323,25,107.4
20220905084318702_00000176.sum,2022-09-05T08:43:18.588,29.440373,102.141653,12.828,3.592,12.148,0.288,10,133.1
20220905084343307_00000177.sum,2022-09-05T08:43:42.764,29.755149,102.030403,16.191,5.157,14.942,0.189,9,285.3
20220905084421584_00000178.sum,2022-09-05T08:44:21.165,29.444768,102.201945,15.555,1.898,8.249,0.366,17,112.1
20220905084654022_00000179.sum,2022-09-05T08:46:53.486,29.443133,102.169198,14.826,1.684,7.387,0.317,21,104.9
20220905085005069_00000180.sum,2022-09-05T08:50:03.889,29.724913,102.025742,16.940,5.575,18.702,0.250,8,180.5
20220905085049872_00000181.sum,2022-09-05T08:50:48.615,29.716731,102.056949,19.333,5.288,17.520,0.102,11,242.3
20220905085111482_00000182.sum,2022-09-05T08:51:11.242,29.396457,102.180469,13.259,1.410,6.416,0.311,24,101.8
20220905085319384_00000183.sum,2022-09-05T08:53:19.009,29.381722,102.179492,12.971,1.298,6.046,0.234,22,99.9
20220905085339335_00000184.sum,2022-09-05T08:53:39.191,29.791932,101.993961,12.319,2.547,8.166,0.238,14,141.4
20220905085532365_00000185.sum,2022-09-05T08:55:32.058,29.782495,102.014163,11.982,2.189,6.331,0.270,15,130.8
20220905085619100_00000186.sum,2022-09-05T08:56:18.728,29.420516,102.197516,11.691,1.901,6.430,0.229,17,146.6
20220905085754810_00000187.sum,2022-09-05T08:57:54.366,29.631504,102.020656,13.067,1.743,8.680,0.334,15,97.5
20220905090117909_00000188.sum,2022-09-05T09:01:17.496,29.829375,101.982413,13.393,3.361,8.015,0.237,11,183.2
20220905090135577_00000189.sum,2022-09-05T09:01:35.139,29.761895,101.868520,17.005,3.360,17.335,0.084,7,188.7
20220905090251755_00000190.sum,2022-09-05T09:02:51.360,29.429525,102.187213,14.330,2.869,8.811,0.166,9,141.1
20220905090505815_00000191.sum,2022-09-05T09:05:05.424,29.830669,102.011343,12.013,2.662,10.420,0.144,10,204.4
20220905090546960_00000192.sum,2022-09-05T09:05:46.166,29.790152,102.075205,9.613,3.750,12.300,0.383,14,121.6
20220905090701037_00000193.sum,2022-09-05T09:07:00.701,29.404744,102.188744,11.859,2.842,10.081,0.167,9,120.0
20220905090737866_00000194.sum,2022-09-05T09:07:37.240,29.859681,101.998773,15.586,3.824,9.283,0.032,10,261.8
20220905090754956_00000195.sum,2022-09-05T09:07:53.129,29.537059,101.920083,13.691,7.862,17.937,0.161,7,271.1
20220905090810039_00000196.sum,2022-09-05T09:08:09.572,29.798491,101.993593,12.437,2.078,6.679,0.209,14,127.9
20220905091005717_00000197.sum,2022-09-05T09:10:04.501,29.747093,102.057580,24.845,4.280,12.789,0.187,11,186.4
20220905091118806_00000198.sum,2022-09-05T09:11:18.309,29.567840,101.972665,12.408,1.733,7.373,0.268,20,80.4
20220905091239867_00000199.sum,2022-09-05T09:12:39.925,29.638776,102.045953,12.615,1.702,6.359,0.312,16,81.1
20220905091559430_00000200.sum,2022-09-05T09:15:58.653,29.857713,102.005283,14.752,5.546,11.148,0.062,8,261.2
20220905091659470_00000201.sum,2022-09-05T09:16:58.948,29.805627,102.020565,11.581,1.864,6.277,0.236,13,100.8
20220905091845973_00000202.sum,2022-09-05T09:18:45.600,29.460920,102.159534,14.030,1.413,6.037,0.326,27,104.1
