event_id,ot_str,lat,lon,dep_km,h_err_km,z_err_km,rms,nphs,gap
20220905093920690_00000188.sum,2022-09-05T09:39:20.353,29.392826,102.189880,18.322,1.476,5.063,0.320,27,103.9
20220905094316850_00000189.sum,2022-09-05T09:43:16.090,29.599209,101.990811,13.693,1.934,4.363,0.941,21,79.7
20220905094352870_00000190.sum,2022-09-05T09:44:19.443,29.702913,102.100609,11.380,3.302,4.806,10.513,25,67.9
20220905094408450_00000191.sum,2022-09-05T09:44:04.243,28.984459,101.548469,39.439,14.991,20.427,8.589,21,111.5
20220905094420240_00000192.sum,2022-09-05T09:44:19.520,29.704663,102.101380,13.298,2.245,2.847,1.081,19,123.9
20220905094542280_00000193.sum,2022-09-05T09:45:41.732,29.609622,102.037063,14.427,1.415,4.885,0.279,26,86.5
20220905094706370_00000194.sum,2022-09-05T09:47:05.512,29.821697,102.023040,9.324,3.183,5.911,6.834,19,104.5
20220905094726500_00000195.sum,2022-09-05T09:47:25.640,29.749223,102.035396,9.911,1.525,3.457,0.216,17,91.0
20220905094828790_00000196.sum,2022-09-05T09:48:28.337,29.462695,102.179885,14.217,2.213,6.796,1.977,16,141.8
20220905094853010_00000197.sum,2022-09-05T09:48:52.266,29.646051,102.045482,15.462,3.378,6.399,0.269,10,146.8
20220905095015060_00000198.sum,2022-09-05T09:50:14.383,29.654468,102.089167,16.204,2.184,3.765,0.281,17,137.9
20220905095128700_00000199.sum,2022-09-05T09:51:27.838,29.881558,101.983420,8.972,3.791,6.681,0.262,11,198.9
20220905095211510_00000200.sum,2022-09-05T09:52:10.959,29.415199,102.187162,15.505,1.279,5.930,0.285,31,106.1
20220905095305360_00000201.sum,2022-09-05T09:52:43.681,30.734081,101.394882,23.102,118.584,147.216,0.467,9,320.5
20220905095417910_00000202.sum,2022-09-05T09:54:17.137,29.649372,102.089827,14.566,1.949,4.141,0.306,22,90.0
20220905095510220_00000203.sum,2022-09-05T09:55:09.866,29.421089,102.177815,14.665,1.262,5.900,0.613,31,104.4
20220905095526590_00000204.sum,2022-09-05T09:55:09.726,29.420640,102.176373,14.968,1.859,11.400,5.051,21,132.4
20220905095625340_00000205.sum,2022-09-05T09:56:24.865,29.570915,101.976247,14.362,1.570,5.644,0.280,19,105.6
20220905095754440_00000206.sum,2022-09-05T09:57:53.717,29.686290,102.093044,12.042,1.511,3.654,0.347,25,72.7
20220905100047250_00000207.sum,2022-09-05T10:00:47.361,29.658901,102.042040,14.172,3.802,4.715,4.635,20,73.3
20220905100109850_00000208.sum,2022-09-05T10:01:09.374,29.422479,102.180795,13.879,4.823,8.691,0.212,10,162.8
20220905100205350_00000209.sum,2022-09-05T10:02:04.443,29.809932,102.020361,9.689,1.286,3.806,0.262,19,66.0
20220905100256450_00000210.sum,2022-09-05T10:02:55.871,29.630608,102.118288,15.604,2.083,4.695,0.372,24,144.3
20220905100334310_00000211.sum,2022-09-05T10:03:50.497,29.429930,102.167206,14.366,1.407,6.270,5.348,28,103.2
20220905100350850_00000212.sum,2022-09-05T10:03:50.444,29.433082,102.168080,14.990,1.383,6.146,0.360,25,103.2
20220905100435290_00000213.sum,2022-09-05T10:04:34.372,29.777745,101.996281,9.575,1.655,4.998,4.918,24,68.0
20220905100456420_00000214.sum,2022-09-05T10:05:29.312,29.658896,102.056319,14.043,2.510,3.728,9.981,24,99.6
20220905100529800_00000215.sum,2022-09-05T10:05:29.136,29.646934,102.084874,14.686,1.514,3.856,0.296,28,97.1
20220905100653530_00000216.sum,2022-09-05T10:06:53.043,29.688901,102.016680,17.000,1.941,4.418,0.257,16,107.5
20220905101014260_00000217.sum,2022-09-05T10:10:13.821,29.331079,102.150446,7.266,2.139,9.161,0.889,27,84.4
20220905101023300_00000218.sum,2022-09-05T10:10:22.738,29.589298,102.109101,17.444,1.931,5.643,3.619,26,100.5
20220905101125590_00000219.sum,2022-09-05T10:11:24.604,29.729814,102.062885,9.295,3.652,6.417,0.220,10,125.3
20220905101254920_00000220.sum,2022-09-05T10:12:54.248,29.798017,102.019138,8.967,1.705,4.029,6.084,27,98.8
20220905101311680_00000221.sum,2022-09-05T10:13:11.335,29.516640,101.967304,14.062,1.473,5.552,0.433,28,80.0
20220905101332070_00000222.sum,2022-09-05T10:13:31.337,29.788142,102.019748,9.107,1.501,4.556,4.429,21,65.6
20220905101441870_00000223.sum,2022-09-05T10:14:40.585,29.636091,102.063730,18.876,2.179,4.865,9.138,26,135.6
20220905101507470_00000224.sum,2022-09-05T10:15:06.909,29.435765,102.169288,15.092,1.457,6.758,0.363,25,104.2
20220905101559650_00000225.sum,2022-09-05T10:16:25.571,29.370090,102.182556,13.514,2.734,6.864,7.014,20,129.0
20220905101625950_00000226.sum,2022-09-05T10:16:25.531,29.374267,102.178123,13.047,1.551,6.238,0.288,22,98.5
