103.4,21,40,7.953,4.527
103.4,21,50,7.757,4.468
103.4,21,60,7.781,4.439
103.4,21,70,7.498,4.285
103.6,21,0,5.778,3.411
103.6,21,2.5,5.767,3.398
103.6,21,5,5.766,3.39
103.6,21,7.5,5.724,3.365
103.6,21,10,5.647,3.328
103.6,21,15,5.949,3.492
103.6,21,20,6.125,3.587
103.6,21,25,6.218,3.635
103.6,21,30,6.637,3.849
103.6,21,35,7.742,4.417
103.6,21,40,7.956,4.529
103.6,21,50,7.724,4.455
103.6,21,60,7.773,4.434
103.6,21,70,7.484,4.277
103.8,21,0,5.821,3.43
103.8,21,2.5,5.794,3.402
103.8,21,5,5.767,3.375
103.8,21,7.5,5.688,3.338
103.8,21,10,5.599,3.299
103.8,21,15,6.008,3.524
103.8,21,20,6.147,3.599
103.8,21,25,6.233,3.643
103.8,21,30,6.706,3.884
103.8,21,35,7.945,4.52
103.8,21,40,7.946,4.524
103.8,21,50,7.674,4.438
103.8,21,60,7.772,4.431
103.8,21,70,7.454,4.261
104,21,0,5.871,3.454
104,21,2.5,5.824,3.413
104,21,5,5.77,3.365
104,21,7.5,5.678,3.322
104,21,10,5.576,3.282
104,21,15,5.997,3.519
104,21,20,6.152,3.602
104,21,25,6.232,3.643
104,21,30,6.692,3.877
104,21,35,7.941,4.517
104,21,40,7.952,4.527
104,21,50,7.644,4.424
104,21,60,7.763,4.428
104,21,70,7.449,4.259
104.2,21,0,5.931,3.489
104.2,21,2.5,5.871,3.442
104.2,21,5,5.79,3.382
104.2,21,7.5,5.69,3.33
104.2,21,10,5.577,3.285
104.2,21,15,5.954,3.496
104.2,21,20,6.151,3.603
104.2,21,25,6.225,3.64
104.2,21,30,6.643,3.853
104.2,21,35,7.846,4.468
104.2,21,40,7.974,4.538
104.2,21,50,7.624,4.416
104.2,21,60,7.748,4.423
104.2,21,70,7.458,4.263
104.4,21,0,5.978,3.512
104.4,21,2.5,5.879,3.444
104.4,21,5,5.771,3.37
104.4,21,7.5,5.648,3.316
104.4,21,10,5.524,3.264
104.4,21,15,6.033,3.542
104.4,21,20,6.176,3.618
104.4,21,25,6.232,3.643
104.4,21,30,6.711,3.888
104.4,21,35,8.069,4.581
104.4,21,40,7.953,4.528
104.4,21,50,7.562,4.394
104.4,21,60,7.753,4.42
104.4,21,70,7.427,4.248
104.6,21,0,6.05,3.546
104.6,21,2.5,5.923,3.47
104.6,21,5,5.781,3.385
104.6,21,7.5,5.646,3.324
104.6,21,10,5.512,3.266
104.6,21,15,6.049,3.563
104.6,21,20,6.188,3.628
104.6,21,25,6.229,3.641
104.6,21,30,6.7,3.882
104.6,21,35,8.08,4.589
104.6,21,40,7.961,4.532
104.6,21,50,7.527,4.383
104.6,21,60,7.744,4.417
104.6,21,70,7.423,4.246
104.8,21,0,6.135,3.581
104.8,21,2.5,5.973,3.497
104.8,21,5,5.789,3.405
104.8,21,7.5,5.641,3.337
104.8,21,10,5.498,3.272
104.8,21,15,6.098,3.61
104.8,21,20,6.205,3.643
104.8,21,25,6.226,3.639
104.8,21,30,6.699,3.881
104.8,21,35,8.122,4.61
104.8,21,40,7.966,4.533
104.8,21,50,7.487,4.366
104.8,21,60,7.738,4.412
104.8,21,70,7.415,4.242
105,21,0,6.222,3.62
105,21,2.5,6.029,3.529
105,21,5,5.803,3.427
105,21,7.5,5.641,3.351
105,21,10,5.49,3.281
105,21,15,6.135,3.649
105,21,20,6.221,3.656
105,21,25,6.223,3.638
105,21,30,6.69,3.876
105,21,35,8.139,4.617
105,21,40,7.975,4.537
105,21,50,7.45,4.355
105,21,60,7.729,4.409
105,21,70,7.411,4.239
105.2,21,0,6.281,3.661
